Project URL,SHA Detected
https://github.com/spring-cloud/spring-cloud-netflix,dc67500445d3ce7382771e39b64ca93bbebc04c7
https://github.com/json-iterator/java,6925cf4c19d313504b416f58a349a36bf563e0e1
https://github.com/apache/nifi,12015a17dd93a1d42c9d6ddab6cc5ce606fef16a
https://github.com/alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1
https://github.com/alibaba/wasp,b2593d8e4b31ca6da0cd2f3e18356338d9b6dace
https://github.com/apache/hive,54e43339dd671018fc70ebb5d9f0b292d70391a6
https://github.com/spring-cloud/spring-cloud-kubernetes,3351926041a630aee0961ba0e1be8f035e4ba2ca
https://github.com/Thomas-S-B/visualee,88732d9dbe5031dad9c9f85a4c4b35e5f1551f95
https://github.com/j256/ormlite-core,632b87c2a455b8eab4a6c09324e1f166273588d8
https://github.com/jenkinsci/remoting,abf0455a68ad6c52a57e912bb89d51f883f77542
